year,site,visacres_avg,hicount,bdrat_hi,fdrat_hi,Density_acres_per_deer,Buck_to_Doe_Ratio,Fawn_to_Doe_Ratio,skunk,pig,racoon,armadillo,bat,cottontail,screech_owl,great_horned_owl,gray fox,barred_owl,gulf_coast_toad,chuck_widow,feral_cat,fox_species_unknown,opposum,ringtail_cat,night_jar,coyote
2008,WOLTERS,528,10.78,0.235294118,0.705882353,10.67,0.186046512,0.558139535,,,,,,,,,,,,,,,,,,
2009,WOLTERS,443.41,12.32,0.111111111,0.111111111,14.44,0.145454545,0.345454545,,,,,,,,,,,,,,,,,,
2010,WOLTERS,424.43,9.23,0.217391304,0.304347826,12.51,0.6875,0.9375,,,,,,,,,,,,,,,,,,
2011,WOLTERS,424.43,5.24,0.6,0.68,6.26,0.484848485,0.681818182,,,,,,,,,,,,,,,,,,
2012,WOLTERS,495.48,6.79,0.615384615,0.576923077,8.4,0.492063492,0.365079365,,,,,,,,,,,,,,,,,,
2013,WOLTERS,495.48,8.85,0.541666667,0.166666667,10.4,0.298507463,0.149253731,,,,,,,,,,,,,,,,,,
2014,WOLTERS,410.2,9.32,0.25,0.35,10,0.196078431,0.333333333,0,1,3,1,0,12,0,0,1,1,0,0,1,0,0,0,0,6
2015,WOLTERS,489.4,14.39,0.1875,0.125,19.84,0.166666667,0.166666667,,,,,,,,,,,,,,,,,,
2016,WOLTERS,489.4,16.31,0.727272727,0.181818182,17.32,0.652173913,0.130434783,,,,,,,,,,,,,,,,,,
2017,WOLTERS,287.49,11.06,0.384615385,0.230769231,14.14,0.357142857,0.178571429,,,,,,,,,,,,,,,,,,
2018,WOLTERS,476.4,14.44,0.266666667,0.2,19.06,0.275862069,0.172413793,,,,,,,,,,,,,,,,,,
2019,WOLTERS,505.67,24.08,0.111111111,0.111111111,41,0.095238095,0.047619048,,,,,,,,,,,,,,,,,,
2020,WOLTERS,454.5,19.76,0.3125,0.3125,21.99,0.413793103,0.310344828,,,,,,,,,,,,,,,,,,
2021,WOLTERS,443.85,17.07,0.285714286,0.285714286,24.66,0.225806452,0.193548387,,,,,,,,,,,,,,,,,,
2022,WOLTERS,768,,,,25.6,0.25,0.041666667,,,,,,,,,,,,,,,,,,
2008,SWIFT,355,28.17,0.75,0.25,39.44,0.545454545,0.545454545,0,57,1,2,0,4,0,0,0,0,0,0,1,0,0,0,0,1
2009,SWIFT,416,34.67,1,0.2,49.83,1.125,0.125,2,0,2,0,0,0,1,1,1,0,2,1,1,0,0,0,0,0
2010,SWIFT,413,31.77,0.666666667,0.5,42.68,0.727272727,0.545454545,0,11,3,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0
2011,SWIFT,412.55,68.76,2.5,0,77.35,2.25,0,1,4,2,1,0,10,0,0,0,1,0,0,0,1,1,1,1,2
2012,SWIFT,412.55,45.84,0.5,0.5,77.35,0.571428571,0.428571429,,,,,,,,,,,,,,,,,,
2013,SWIFT,443.75,11.99,1.083333333,0.25,15.85,1.217391304,0.217391304,2,14,3,2,0,12,0,2,0,2,0,0,0,1,1,0,0,7
2014,SWIFT,443.74,40.34,1.25,1,45.9,0.196078431,0.294117647,,,,,,,,,,,,,,,,,,
2015,SWIFT,443.74,24.65,1,0.6,27.17,1.125,0.5,,,,,,,,,,,,,,,,,,
2016,SWIFT,443.74,26.1,1.5,0.5,36.98,2,0.333333333,,,,,,,,,,,,,,,,,,
2017,SWIFT,505.75,12.97,0.2,0.24,19.21,0.227272727,0.25,,,,,,,,,,,,,,,,,,
2018,SWIFT,,,,,,,,,,,,,,,,,,,,,,,,,
2019,SWIFT,,,,,,,,,,,,,,,,,,,,,,,,,
2020,SWIFT,,,,,,,,,,,,,,,,,,,,,,,,,
2021,SWIFT,,,,,,,,,,,,,,,,,,,,,,,,,
2022,SWIFT,563,,,,29.63,0.29154519,0.17,,,,,,,,,,,,,,,,,,
2008,MAXEY,370,6.07,0.2,0.36,9.61,0.150684932,0.219178082,,,,,,,,,,,,,,,,,,
2009,MAXEY,379.3,12.24,0.125,0.3125,13.88,0.171428571,0.371428571,,,,,,,,,,,,,,,,,,
2010,MAXEY,472.43,6.14,0.6,0.325,6.38,0.577319588,0.237113402,,,,,,,,,,,,,,,,,,
2011,MAXEY,477.54,7.96,0.219512195,0.12195122,8.68,0.164948454,0.082474227,,,,,,,,,,,,,,,,,,
2012,MAXEY,477.54,22.74,0.333333333,0.333333333,24.28,0.318181818,0.181818182,,,,,,,,,,,,,,,,,,
2013,MAXEY,477.54,9.95,0.611111111,0.222222222,11.94,0.590909091,0.136363636,,,,,,,,,,,,,,,,,,
2014,MAXEY,304.23,11.7,0.454545455,0.090909091,14.04,0.214285714,0.035714286,,,,,,,,,,,,,,,,,,
2015,MAXEY,355.41,10.15,1.111111111,0.666666667,11.59,0.96,0.4,,,,,,,,,,,,,,,,,,
2016,MAXEY,355.41,14.81,1,0.111111111,20.12,1.388888889,0.055555556,,,,,,,,,,,,,,,,,,
2017,MAXEY,177.28,9.85,0.5,0,16.12,1.2,0,,,,,,,,,,,,,,,,,,
2018,MAXEY,476.4,17.64,0.538461538,0.307692308,19.06,0.275862069,0.172413793,,,,,,,,,,,,,,,,,,
2019,MAXEY,316.29,12.17,0.6,0.3,15.56,0.384615385,0.230769231,,,,,,,,,,,,,,,,,,
2020,MAXEY,517.26,23.51,0.4,0.3,29.84,0.391304348,0.173913043,,,,,,,,,,,,,,,,,,
2021,MAXEY,443.85,15.85,0.5,0,24.66,0.225806452,0.193548387,,,,,,,,,,,,,,,,,,
2022,MAXEY,718,,,,16.7,0.333333333,0.14,,,,,,,,,,,,,,,,,,
2008,BOWIE,749,46.81,0.326530612,0.448979592,6.86,0.345132743,0.486725664,,,,,,,,,,,,,,,,,,
2009,BOWIE,606.12,11.66,0.333333333,0.2,13.08,0.285714286,0.727272727,,,,,,,,,,,,,,,,,,
2010,BOWIE,678.88,9.7,0.382352941,0.294117647,12.12,0.365853659,0.329268293,,,,,,,,,,,,,,,,,,
2011,BOWIE,678.88,9.43,0.387096774,0.258064516,10.44,0.41025641,0.307692308,,,,,,,,,,,,,,,,,,
2012,BOWIE,678.88,8.28,0.59375,0.25,10.61,0.514705882,0.308823529,,,,,,,,,,,,,,,,,,
2013,BOWIE,830.37,12.21,0.56,0.36,13.04,0.448717949,0.307692308,,,,,,,,,,,,,,,,,,
2014,BOWIE,1059,17.36,0.742857143,0.371428571,19.25,0.62962963,0.259259259,,,,,,,,,,,,,,,,,,
2015,BOWIE,1059,13.75,0.666666667,0.222222222,20.63,0.707692308,0.230769231,,,,,,,,,,,,,,,,,,
2016,BOWIE,872.5090909,10.77,0.479166667,0.145833333,4.665824016,0.459459459,0.144144144,,,,,,,,,,,,,,,,,,
2017,BOWIE,832.13,16.32,0.433333333,0.366666667,17.7,0.386666667,0.306666667,,,,,,,,,,,,,,,,,,
2018,BOWIE,832.13,14.1,0.892857143,0.392857143,,,,,,,,,,,,,,,,,,,,,
2019,BOWIE,8753,83.36,0.213333333,0.053333333,83.36190476,0.213333333,0.053333333,,,,,,,,,,,,,,,,,,
2020,BOWIE,722.8364,10.79,0.580645161,0.612903226,13.22261707,0.583333333,0.369047619,,,,,,,,,,,,,,,,,,
2021,BOWIE,722.8364,11.66,0.414634146,0.097560976,13.02407928,0.4,0.08,,,,,,,,,,,,,,,,,,
2022,BOWIE,826,,,,18.09,0.533333333,0.09,,,,,,,,,,,,,,,,,,
2008,MABRY,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MABRY,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MABRY,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MABRY,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MABRY,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MABRY,142.34,4.31,1.9,0.6,5.02,1.76,0.56,,,,,,,,,,,,,,,,,,
2014,MABRY,142.34,3.56,3.375,0.625,3.618813559,3.391304348,0.608695652,,,,,,,,,,,,,,,,,,
2015,MABRY,142.34,7.12,0.857142857,1,8.056981132,0.7,0.85,,,,,,,,,,,,,,,,,,
2016,MABRY,142.34,5.47,1.444444444,0.666666667,5.6936,1.695652174,0.565217391,,,,,,,,,,,,,,,,,,
2017,MABRY,,,,,,,,,,,,,,,,,,,,,,,,,
2018,MABRY,,,,,,,,,,,,,,,,,,,,,,,,,
2019,MABRY,,,,,,,,,,,,,,,,,,,,,,,,,
2020,MABRY,,,,,,,,,,,,,,,,,,,,,,,,,
2021,MABRY,202.21,10.11,3.25,0.5,11.23388889,2.875,0.5,,,,,,,,,,,,,,,,,,
2022,MABRY,126,,,,5.09,1.785714286,0.12,,,,,,,,,,,,,,,,,,
